"","Estimate","Std. Error","t value","Pr(>|t|)"
"neighbourhood_cleansedHackney",-12.6520330486211,4.24394270289587,-2.98119789411576,0.00287234935790222
"neighbourhood_cleansedHammersmith and Fulham",6.00774356023201,4.23755789970924,1.41773722092251,0.15627253771248
"neighbourhood_cleansedHaringey",-7.68315660834276,4.46063739341352,-1.72243469502532,0.0849958033962696
"neighbourhood_cleansedHarrow",3.14417160896119,5.58944539564308,0.562519424809488,0.57376421195492
"neighbourhood_cleansedHavering",3.4063804206889,5.7370111343954,0.593755239599666,0.552678002471354
"neighbourhood_cleansedHillingdon",8.79330056912023,5.06971709864577,1.73447559262609,0.0828387158907221
"neighbourhood_cleansedHounslow",6.27041332116527,4.87566928173198,1.28606206837266,0.198426216223824
"neighbourhood_cleansedIslington",-12.7871715928769,4.36706123736432,-2.92809532494545,0.00341169796278675
"neighbourhood_cleansedKensington and Chelsea",52.5593628888489,4.19448113336504,12.5305994276062,0.00000000000000000000000000000000000561609184937834
"neighbourhood_cleansedKingston upon Thames",6.61502997794368,6.13041392276466,1.07905111486509,0.280569150744349
"neighbourhood_cleansedLambeth",-16.9834828836143,4.28523017935144,-3.96326035540633,0.0000740160495268856
"neighbourhood_cleansedLewisham",-17.0635449693566,4.7072808451168,-3.6249260519601,0.000289275972482432
"neighbourhood_cleansedMerton",9.39793998722735,4.75462580696281,1.97658877244656,0.0480925682254239
"neighbourhood_cleansedNewham",-0.00983467839113998,4.36129284255738,-0.00225499152342476,0.998200785877613
"neighbourhood_cleansedRedbridge",-0.0920487160889232,5.00656339604971,-0.0183856088113359,0.985331292325918
"neighbourhood_cleansedRichmond upon Thames",32.2387521673267,4.93925644782059,6.52704562071318,0.0000000000675964547640054
"neighbourhood_cleansedSouthwark",-17.3957995495491,4.35369175990023,-3.99564335485885,0.0000645934743160183
"neighbourhood_cleansedSutton",-3.22668343158681,6.40225166973611,-0.503991970018855,0.614268815357658
"neighbourhood_cleansedTower Hamlets",-11.0995569682534,4.13057000614275,-2.68717318717435,0.00720788493686407
"neighbourhood_cleansedWaltham Forest",-17.266971701255,4.55435396988696,-3.79131086767145,0.000149996498400395
"neighbourhood_cleansedWandsworth",8.55165072563682,4.17297777860199,2.04929217919338,0.0404377629182259
"neighbourhood_cleansedWestminster",39.7218942466156,4.25106507916696,9.3439863909116,0.00000000000000000000957419138768412
"last_scraped",2.88403818780472,1.06667536094851,2.703763762988,0.00685777540854846
"property_typeBoat",-55.8190929632211,55.6977746194712,-1.00217815423648,0.316261478278958
"property_typeCamper/RV",-46.5265243278476,57.4422868034971,-0.80996991792839,0.417960582087281
"property_typeCasa particular",-34.0645917000779,63.1914725261219,-0.539069439883624,0.589840882087179
"property_typeCastle",292.593310269312,85.1752908395172,3.4351900344033,0.000592526983415337
"property_typeCave",-36.8649879251764,107.723958892283,-0.34221716602561,0.732188630719738
"property_typeCycladic home",-89.5361071586295,107.733625404649,-0.831087850449018,0.405927211658859
"property_typeDome",293.753037888927,85.1796037808599,3.448631184581,0.000563810834604241
"property_typeEarthen home",-58.7299812864002,85.2114258343972,-0.689226599734853,0.490683266230354
"property_typeEntire bungalow",-78.4783761999393,56.4282421460125,-1.39076414957018,0.164301962239044
"property_typeEntire cabin",-45.3446133122485,55.7762866680603,-0.812972967922847,0.416236686871821
"property_typeEntire chalet",20.039540277374,85.2626780901121,0.235032967838456,0.814183923431864
"property_typeEntire condo",-50.3944572076819,53.9055518408637,-0.934865806706756,0.349861111213718
"property_typeEntire cottage",-53.4988744277829,56.0787341528129,-0.953995756787233,0.340089519368002
"property_typeEntire guest suite",-55.8134752756989,54.4935042863973,-1.02422253820133,0.305734182246319
"property_typeEntire guesthouse",-57.2593641339976,54.3150710653008,-1.05420766301046,0.291791971402265
"property_typeEntire home",-33.3977264754935,53.9092465055766,-0.619517590030473,0.535577720205971
"property_typeEntire home/apt",-121.221296886888,85.18034197813,-1.42311352680424,0.154708292599844
"property_typeEntire loft",-31.4082905710171,54.2961621744036,-0.578462442154404,0.562954053885835
"property_typeEntire place",-13.696404536993,55.1003312915879,-0.248572090510898,0.8036926250002
"property_typeEntire rental unit",-55.2345912560547,53.8967944227762,-1.02482145455228,0.305451450133277
"property_typeEntire serviced apartment",-21.4057003795083,53.9468414552819,-0.396792468327402,0.691521874516525
"property_typeEntire townhouse",-7.63571070876929,54.0378526834642,-0.14130300020426,0.887631039867828
"property_typeEntire vacation home",-32.9494554921454,55.5132671871501,-0.593541997466371,0.552820656341942
"property_typeEntire villa",103.298364566567,58.4454956790576,1.7674307209885,0.0771610529333654
"property_typeFarm stay",-35.302521394835,71.3145994737557,-0.495025165328547,0.620584115673612
"property_typeHouseboat",-32.4509357047637,59.025980058648,-0.549773772032595,0.582476535740883
"property_typeHut",-50.630973345986,85.1780357139843,-0.594413488425556,0.552237763744181
"property_typeIsland",128.929562021955,107.748591001046,1.19657770764449,0.231475781289423
"property_typeLighthouse",-74.643519884877,107.726808628624,-0.692896418589751,0.488377159580388
"property_typePrivate room",-88.948770563159,59.7693104790782,-1.48820138379034,0.136702891770507
"property_typePrivate room in bed and breakfast",-63.7727370101595,58.0792226471893,-1.09803014061597,0.272195603594676
"property_typePrivate room in boat",-23.0648901839484,79.0490505809852,-0.291779471283069,0.770456220905744
"property_typePrivate room in bungalow",-54.8417576187636,59.6752982190406,-0.919002656969803,0.35809776710806
"property_typePrivate room in cabin",-61.2097028467155,67.7546655146075,-0.903402037067381,0.366316078403798
"property_typePrivate room in casa particular",-28.0632380247169,59.3580454008926,-0.472779011424371,0.636372518319878
"property_typePrivate room in castle",187.649533995607,109.795854971908,1.70907666818222,0.0874417665530709
"property_typePrivate room in chalet",-83.2293778332543,87.7564190634218,-0.948413560187594,0.342922665150681
"property_typePrivate room in condo",-81.3536016487525,57.9047611883199,-1.4049553090146,0.160039591438509
"property_typePrivate room in cottage",-54.71193657123,61.1941346307427,-0.894071578940898,0.371287074316336
"property_typePrivate room in earthen home",-84.5064928506782,109.777852750257,-0.769795461776149,0.44142417272781
"property_typePrivate room in farm stay",-26.3805849078444,74.3573961897643,-0.354780912991085,0.7227549385411
"property_typePrivate room in guest suite",-56.3643937714524,58.4493172950313,-0.964329377654576,0.3348845877837
"property_typePrivate room in guesthouse",-70.4307667380065,58.1837327612169,-1.2104889699506,0.226095947430197
"property_typePrivate room in home",-77.3645524344769,57.8816761064733,-1.33659834404527,0.181358697500416
"property_typePrivate room in hostel",-63.5065343243567,61.9157477752951,-1.02569276163529,0.305040439542119
"property_typePrivate room in houseboat",-11.7342470251976,87.7509571337063,-0.133722154247482,0.893622721103535
"property_typePrivate room in hut",-66.5235603971603,74.3472547121393,-0.894768215110685,0.370914487332914
"property_typePrivate room in loft",-64.6681676834648,58.8203867559021,-1.09941758716804,0.271590243177764
"property_typePrivate room in nature lodge",-39.5757340784778,79.0990372652739,-0.500331425599441,0.616843510419495
"property_typePrivate room in religious building",-109.75944583249,74.3494686660757,-1.47626402450098,0.139878119911961
"property_typePrivate room in rental unit",-81.8017294222785,57.8861696929669,-1.41314807761788,0.15761722290657
"property_typePrivate room in serviced apartment",-31.489722132828,58.8577010748426,-0.535014476572677,0.592641770699647
"property_typePrivate room in shepherd's hut",91.9004214986136,109.811048312531,0.836895949094825,0.402654291747102
"property_typePrivate room in shipping container",-12.7688630968448,109.86758444086,-0.116220477239291,0.907478185637525
"property_typePrivate room in tiny home",-70.5497814403303,61.9050226115156,-1.13964551605231,0.254438428886764
"property_typePrivate room in townhouse",-89.0373115267166,57.9674179230536,-1.53598891785909,0.124546214656913
"property_typePrivate room in treehouse",-60.0016502005658,109.791777524722,-0.546504042044998,0.584721481828755
"property_typePrivate room in vacation home",-59.3036271798717,62.1426493118206,-0.954314433591282,0.339928234517966
"property_typePrivate room in villa",-60.5232422284468,63.0136906203442,-0.960477661800477,0.336818623754507
"property_typePrivate room in yurt",-102.44092978535,109.767934587688,-0.933250044014582,0.350694525523264
"property_typeRoom in aparthotel",29.6617174256545,55.1459078845474,0.537877035006002,0.590663879697022
"property_typeRoom in bed and breakfast",-81.5922743596743,67.8141237373091,-1.20317523641148,0.228913121968973
"property_typeRoom in boutique hotel",-1.57244695832653,58.2859914672739,-0.026978128341686,0.97847726579268
"property_typeRoom in hostel",-115.359709202248,67.1005807828548,-1.71920582290585,0.0855819054619164
"property_typeRoom in hotel",-18.6242125809544,57.9965141407638,-0.321126413490153,0.748115679682708
"property_typeRoom in serviced apartment",23.8890803433155,61.5262502196136,0.388274602434654,0.69781416679479
